Name,SelfhostValue,SelfhostExpiry,SelfhostEnabled,PeValue,PeExpiry,PeEnabled,Status,DifferentFields
APv2EnableAutoReconnectOnRestart,true,2027-03-17T00:00:00.0402432Z,True,true,2027-03-17T00:00:00.0402432Z,True,Same,
APv2ScriptNullRefFix,true,2027-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
APv2UseStandardUserProviderNative,true,2026-06-20T00:00:00.0402432Z,True,true,2026-06-20T00:00:00.0402432Z,True,Same,
ClearGRSInESP,true,2026-04-01T00:00:00.000Z,True,true,2026-04-01T00:00:00.000Z,True,Same,
CollectAppInvForNonEmptyGuids,true,2026-04-01T00:00:00.000Z,True,,,False,Only in selfhost,
CommonSchemaEventsProcessing,true,2025-08-01T00:00:00.000Z,True,true,2025-08-01T00:00:00.000Z,True,Same,
dnsErrorRetryDelay,true,2025-09-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableCleanupMsiKeyOnUninstall,true,2026-12-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableComponentManager,true,2026-10-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableDiskUsageMonitor,true,2026-10-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableExpandedCrashTelemetry,true,2026-05-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableGoldenSignals,true,2025-10-18T00:00:00.000Z,True,true,2025-10-18T00:00:00.000Z,True,Same,
EnableHourlyComplianceScriptCadence,true,2026-11-07T00:00:00Z,True,,,False,Only in selfhost,
EnableIC3Feature,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableIC3Telemetry,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableIsAADUserTelemetry,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableNotificationWorkloadDispatch,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableOneDSProxyFeature,true,2026-12-31T00:00:01.000Z,True,,,False,Only in selfhost,
EnableProcessMonitoring,true,2026-10-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnablePutWithTupleResult,true,2025-08-18T00:00:00.000Z,True,,,False,Only in selfhost,
EnableRealTimeComplianceDevice,true,2026-11-07T00:00:00Z,True,,,False,Only in selfhost,
EnableStartupOptimization,true,2026-10-01T00:00:00.000Z,True,,,False,Only in selfhost,
EnableWin32PowerMgmt,true,2025-11-01T00:00:01.000Z,True,true,2025-11-01T00:00:01.000Z,True,Same,
ETWEventsAggregation,true,2025-06-01T00:00:00.000Z,True,true,2025-06-01T00:00:00.000Z,True,Same,
featureX,true,2025-04-23T18:25:43.511Z,True,,,False,Only in selfhost,
FileStreamForDetectionScripts,true,2025-05-01T00:00:01.000Z,True,true,2025-05-01T00:00:01.000Z,True,Same,
IsPowershellScriptConcurrentProcessingEnabled,true,2026-06-01T00:00:00.000Z,True,,,False,Only in selfhost,
OperationSpanLoggingEnabled,true,2027-12-31T23:59:59.0000000Z,True,,,False,Only in selfhost,
redirectFsForScriptsEnabled,true,2026-11-01T00:00:01.000Z,True,true,2026-11-01T00:00:01.000Z,True,Same,
RemediationSendResultFirst,true,2025-04-28T00:00:00.0402432Z,True,true,2025-04-28T00:00:00.0402432Z,True,Same,
RouteInventoryEventsToSidecarDB,true,2026-12-31T00:00:01.000Z,True,true,2026-12-31T00:00:01.000Z,True,Same,
RunNontrackedAppsCheckinImmediatelyAfterDpp,true,2027-03-17T00:00:00.0402432Z,True,,,False,Only in selfhost,
RunNontrackedAppsCheckinImmediatelyAfterEsp,true,2027-03-17T00:00:00.0402432Z,True,,,False,Only in selfhost,
SetIMELogACL,true,2026-03-04T00:00:01.000Z,True,true,2026-03-04T00:00:01.000Z,True,Same,
SingletonBootstrapperFlight,true,2026-06-19T00:00:00.0402432Z,True,true,2026-06-19T00:00:00.0402432Z,True,Same,
skipUserContextAppsWithoutUserLoggedInEnabled,true,2026-06-01T00:00:01.000Z,True,true,2026-06-01T00:00:01.000Z,True,Same,
TcpProbe,true,2026-08-01T00:00:00.000Z,True,true,2026-08-01T00:00:00.000Z,True,Same,
win32AppEnforcementTelemetryEnabled,true,2027-12-31T23:59:59.0000000Z,True,,,False,Only in selfhost,
wingetAppTimeoutHandlerEnabled,true,2025-06-30T23:59:00Z,True,true,2025-06-30T23:59:00Z,True,Same,
wingetRetryOnTransientErrors,true,2026-06-04T00:00:00.000Z,True,,,False,Only in selfhost,
