Name,SelfhostValue,SelfhostExpiry,SelfhostEnabled,PeValue,PeExpiry,PeEnabled,Status,DifferentFields
APv2EnableAutoReconnectOnRestart,true,2027-03-17T00:00:00.0402432Z,True,true,2027-03-17T00:00:00.0402432Z,True,Same,
APv2UseStandardUserProviderNative,true,2026-06-20T00:00:00.0402432Z,True,true,2026-06-20T00:00:00.0402432Z,True,Same,
ClearGRSInESP,true,2026-04-01T00:00:00.000Z,True,true,2026-04-01T00:00:00.000Z,True,Same,
CommonSchemaEventsProcessing,true,2025-08-01T00:00:00.000Z,True,true,2025-08-01T00:00:00.000Z,True,Same,
EnableDiskUsageMonitor,true,2026-10-18T00:00:00.000Z,True,true,2026-10-18T00:00:00.000Z,True,Same,
EnableExpandedCrashTelemetry,true,2026-05-18T00:00:00.000Z,True,true,2026-05-18T00:00:00.000Z,True,Same,
EnableGoldenSignals,true,2025-10-18T00:00:00.000Z,True,true,2025-10-18T00:00:00.000Z,True,Same,
EnableIC3Feature,true,2027-06-01T00:00:00.000Z,True,true,2027-06-01T00:00:00.000Z,True,Same,
EnableIsAADUserTelemetry,true,2026-06-01T00:00:00.000Z,True,true,2026-06-01T00:00:00.000Z,True,Same,
EnableNotificationWorkloadDispatch,true,2026-06-01T00:00:00.000Z,True,true,2026-06-01T00:00:00.000Z,True,Same,
EnableProcessMonitoring,true,2026-10-18T00:00:00.000Z,True,true,2026-10-18T00:00:00.000Z,True,Same,
EnableWin32PowerMgmt,true,2025-11-01T00:00:01.000Z,True,true,2025-11-01T00:00:01.000Z,True,Same,
ETWEventsAggregation,true,2025-06-01T00:00:00.000Z,True,true,2025-06-01T00:00:00.000Z,True,Same,
FileStreamForDetectionScripts,true,2025-05-01T00:00:01.000Z,True,true,2025-05-01T00:00:01.000Z,True,Same,
IsPowershellScriptConcurrentProcessingEnabled,true,2026-06-01T00:00:00.000Z,True,true,2026-06-01T00:00:00.000Z,True,Same,
redirectFsForScriptsEnabled,true,2026-11-01T00:00:01.000Z,True,true,2026-11-01T00:00:01.000Z,True,Same,
RemediationSendResultFirst,true,2025-04-28T00:00:00.0402432Z,True,true,2025-04-28T00:00:00.0402432Z,True,Same,
RouteInventoryEventsToSidecarDB,true,2026-12-31T00:00:01.000Z,True,true,2026-12-31T00:00:01.000Z,True,Same,
SetIMELogACL,true,2026-03-04T00:00:01.000Z,True,true,2026-03-04T00:00:01.000Z,True,Same,
SingletonBootstrapperFlight,true,2026-06-19T00:00:00.0402432Z,True,true,2026-06-19T00:00:00.0402432Z,True,Same,
skipUserContextAppsWithoutUserLoggedInEnabled,true,2026-06-01T00:00:01.000Z,True,true,2026-06-01T00:00:01.000Z,True,Same,
TcpProbe,true,2026-08-01T00:00:00.000Z,True,true,2026-08-01T00:00:00.000Z,True,Same,
wingetAppTimeoutHandlerEnabled,true,2025-06-30T23:59:00Z,True,true,2025-06-30T23:59:00Z,True,Same,
